state,state_fips,quarter_label,bartik_s,weight_sum,n_supersectors
,6,2015Q3,0.0017568786801344825,1.0,12.0
,6,2015Q4,0.04316749684915225,1.0,12.0
,6,2016Q1,0.035489131853435794,1.0,12.0
,6,2016Q2,0.022688084719424146,1.0,12.0
,6,2016Q3,-8.589115661748574e-05,1.0,12.0
,6,2016Q4,0.0008568773729667883,1.0,12.0
,6,2017Q1,0.052018761974200724,1.0,12.0
,6,2017Q2,0.06088595564427584,1.0,12.0
,6,2017Q3,0.04651577876020621,1.0,12.0
,6,2017Q4,0.05401488193119777,1.0,12.0
,6,2018Q1,0.07380381732923408,1.0,12.0
,6,2018Q2,0.10800121331583937,1.0,12.0
,6,2018Q3,0.10806934682153295,1.0,12.0
,6,2018Q4,0.14260325608081037,1.0,12.0
,6,2019Q1,0.0919773268225986,1.0,12.0
,6,2019Q2,0.11190118178181695,1.0,12.0
,6,2019Q3,0.1175864801808431,1.0,12.0
,6,2019Q4,0.10602415891573067,1.0,12.0
,6,2020Q1,0.5847511653574382,1.0,12.0
,6,2020Q2,0.24249706269763394,1.0,12.0
,6,2020Q3,-0.03402665913640401,1.0,12.0
,6,2020Q4,0.10785172756602886,1.0,12.0
,6,2021Q1,0.06792234514466038,1.0,12.0
,6,2021Q2,0.1242090577079775,1.0,12.0
,6,2021Q3,0.19542814533640668,1.0,12.0
,6,2021Q4,0.1843582285265218,1.0,12.0
,8,2001Q1,0.1556759913263811,0.9999999999999999,12.0
,8,2001Q2,0.057454316356333565,0.9999999999999999,12.0
,8,2001Q3,0.08065503675333233,0.9999999999999999,12.0
,8,2001Q4,0.03508026945627676,0.9999999999999999,12.0
,8,2002Q1,-0.0345282503243371,0.9999999999999999,12.0
,8,2002Q2,0.012078869798720384,0.9999999999999999,12.0
,8,2002Q3,-0.004051573677459284,0.9999999999999999,12.0
,8,2002Q4,-0.008099011504483153,0.9999999999999999,12.0
,8,2003Q1,-0.026128071694756488,0.9999999999999999,12.0
,8,2003Q2,-0.06916437821513341,0.9999999999999999,12.0
,8,2003Q3,-0.10055726586326638,0.9999999999999999,12.0
,8,2003Q4,-0.05300597355748609,0.9999999999999999,12.0
,8,2004Q1,-0.0002967972335105781,0.9999999999999999,12.0
,8,2004Q2,-0.03462162413993793,0.9999999999999999,12.0
,8,2004Q3,-0.005741630388598954,0.9999999999999999,12.0
,8,2004Q4,0.0031843134669917207,0.9999999999999999,12.0
,8,2005Q1,0.023988044926941794,0.9999999999999999,12.0
,8,2005Q2,0.044462826569502255,0.9999999999999999,12.0
,8,2005Q3,0.03772010081774024,0.9999999999999999,12.0
,8,2005Q4,0.041462075059402775,0.9999999999999999,12.0
,8,2006Q1,0.03959294393085765,0.9999999999999999,12.0
,8,2006Q2,0.07922940482129993,0.9999999999999999,12.0
,8,2006Q3,0.08298635281190181,0.9999999999999999,12.0
,8,2006Q4,0.06372972080470891,0.9999999999999999,12.0
,8,2007Q1,0.06606048702528453,0.9999999999999999,12.0
,8,2007Q2,0.06522034358103682,0.9999999999999999,12.0
,8,2007Q3,0.059298074957397445,0.9999999999999999,12.0
,8,2007Q4,0.035289909843517944,0.9999999999999999,12.0
,8,2008Q1,0.08120814039994755,0.9999999999999999,12.0
,8,2008Q2,0.009159892072081082,0.9999999999999999,12.0
,8,2008Q3,0.012614115755341935,0.9999999999999999,12.0
,8,2008Q4,0.038531518075402775,0.9999999999999999,12.0
,8,2009Q1,-0.0233437999345573,0.9999999999999999,12.0
,8,2009Q2,-0.16364492150457474,0.9999999999999999,12.0
,8,2009Q3,-0.20816314966771166,0.9999999999999999,12.0
,8,2009Q4,-0.22107452358632268,0.9999999999999999,12.0
,8,2010Q1,-0.20103414767045616,0.9999999999999999,12.0
,8,2010Q2,-0.22424560418213663,0.9999999999999999,12.0
,8,2010Q3,-0.2275970084343295,0.9999999999999999,12.0
,8,2010Q4,-0.20073785170805294,0.9999999999999999,12.0
,8,2011Q1,-0.1726730502228096,0.9999999999999999,12.0
,8,2011Q2,-0.1845121033278106,0.9999999999999999,12.0
,8,2011Q3,-0.1702359041218683,0.9999999999999999,12.0
,8,2011Q4,-0.18361120060072306,0.9999999999999999,12.0
,8,2012Q1,-0.15899900607054748,0.9999999999999999,12.0
,8,2012Q2,-0.12704872699397216,0.9999999999999999,12.0
,8,2012Q3,-0.14170303223503247,0.9999999999999999,12.0
,8,2012Q4,-0.12939347788526384,0.9999999999999999,12.0
,8,2013Q1,-0.1463943455100661,0.9999999999999999,12.0
,8,2013Q2,-0.10002013446064366,0.9999999999999999,12.0
,8,2013Q3,-0.10033585545681681,0.9999999999999999,12.0
,8,2013Q4,-0.14471165344279419,0.9999999999999999,12.0
,8,2014Q1,-0.06819081053564108,0.9999999999999999,12.0
,8,2014Q2,-0.08527707873377119,0.9999999999999999,12.0
,8,2014Q3,-0.06199128721889769,0.9999999999999999,12.0
,8,2014Q4,-0.0014074430514825678,0.9999999999999999,12.0
,8,2015Q1,-0.011243034249241245,0.9999999999999999,12.0
,8,2015Q2,-0.017547789131446914,0.9999999999999999,12.0
,8,2015Q3,-0.0017807002893407333,0.9999999999999999,12.0
,8,2015Q4,0.04606231566820334,0.9999999999999999,12.0
,8,2016Q1,0.035491183791936824,0.9999999999999999,12.0
,8,2016Q2,0.026034465050433494,0.9999999999999999,12.0
,8,2016Q3,0.005423571046537848,0.9999999999999999,12.0
,8,2016Q4,0.0083473311544814,0.9999999999999999,12.0
,8,2017Q1,0.05684274003706386,0.9999999999999999,12.0
,8,2017Q2,0.06301988103272323,0.9999999999999999,12.0
,8,2017Q3,0.04928961920356538,0.9999999999999999,12.0
,8,2017Q4,0.05345850487029982,0.9999999999999999,12.0
,8,2018Q1,0.0750719930467803,0.9999999999999999,12.0
,8,2018Q2,0.10634273853948258,0.9999999999999999,12.0
,8,2018Q3,0.10635790422722984,0.9999999999999999,12.0
,8,2018Q4,0.14003682747903795,0.9999999999999999,12.0
,8,2019Q1,0.09306252039892451,0.9999999999999999,12.0
,8,2019Q2,0.11707352232915014,0.9999999999999999,12.0
,8,2019Q3,0.1256246665847123,0.9999999999999999,12.0
,8,2019Q4,0.1141853549044905,0.9999999999999999,12.0
,8,2020Q1,0.59154508626073,0.9999999999999999,12.0
,8,2020Q2,0.22787505507250772,0.9999999999999999,12.0
,8,2020Q3,-0.036253567464060936,0.9999999999999999,12.0
,8,2020Q4,0.11026804345742369,0.9999999999999999,12.0
,8,2021Q1,0.06658581997780362,0.9999999999999999,12.0
,8,2021Q2,0.12645158280335123,0.9999999999999999,12.0
,8,2021Q3,0.19656625189233168,0.9999999999999999,12.0
,8,2021Q4,0.18366605684973147,0.9999999999999999,12.0
,9,2001Q1,0.16010332856929646,0.9999999999999999,12.0
