,state_fips,industry_code,emp_state_ind,emp_state_total,emp_nat_ind,share,emp_nat_loo,share_of_nat
303,35,40,139875,623279,25978749,0.224417957287186,25838874,0.005384208454379385
304,35,50,15859,623279,3018358,0.025444463875728206,3002499,0.0052541812468898655
305,35,55,33870,623279,8135115,0.05434163512648429,8101245,0.004163432231750873
306,35,60,102361,623279,17325563,0.1642298232412772,17223202,0.005908090836644096
307,35,65,96060,623279,16829499,0.15412038589459937,16733439,0.0057078347965082024
308,35,70,86621,623279,12970494,0.13897628509864762,12883873,0.006678311558526607
309,35,80,21817,623279,4308397,0.03500358587406282,4286580,0.0050638323255725965
310,36,10,26838,6962354,1776779,0.0038547307419301,1749941,0.015104861099776618
311,36,20,335333,6962354,7589577,0.0481637388733753,7254244,0.04418335830837476
312,36,30,564564,6962354,14108909,0.08108809175747168,13544345,0.04001471694232346
313,36,40,1493355,6962354,25978749,0.2144899555523893,24485394,0.05748371486248241
314,36,50,266721,6962354,3018358,0.03830902594151346,2751637,0.08836625741545569
315,36,55,721725,6962354,8135115,0.1036610606125457,7413390,0.08871724616062587
316,36,60,1100828,6962354,17325563,0.1581114663230281,16224735,0.06353779095086261
317,36,65,1462019,6962354,16829499,0.20998917894723537,15367480,0.08687240184630571
318,36,70,675009,6962354,12970494,0.0969512610246477,12295485,0.05204188830433135
319,36,80,315962,6962354,4308397,0.04538149022586326,3992435,0.07333632439164729
320,37,10,32999,3284548,1776779,0.010046740068953171,1743780,0.018572371690570407
321,37,20,244888,3284548,7589577,0.07455759513942253,7344689,0.032266356873380427
322,37,30,553483,3284548,14108909,0.1685111619620112,13555426,0.039229326661615015
323,37,40,756723,3284548,25978749,0.23038877799928636,25222026,0.02912853886844205
324,37,50,73172,3284548,3018358,0.022277646726429328,2945186,0.024242319830848427
325,37,55,202415,3284548,8135115,0.061626439924153946,7932700,0.024881639657214433
326,37,60,477384,3284548,17325563,0.14534237283181733,16848179,0.027553736637591517
327,37,65,467884,3284548,16829499,0.14245004183223994,16361615,0.02780142177732088
328,37,70,376394,3284548,12970494,0.11459537202683596,12594100,0.029019249382483042
329,37,80,99206,3284548,4308397,0.030203851488850218,4209191,0.023026197446521294
330,38,10,7574,271603,1776779,0.027886289915796218,1769205,0.004262769877401748
331,38,20,18265,271603,7589577,0.06724888900343516,7571312,0.0024065899851862626
332,38,30,26009,271603,14108909,0.09576109247688722,14082900,0.0018434451593670354
333,38,40,74431,271603,25978749,0.2740433647640122,25904318,0.002865072525239764
334,38,50,7489,271603,3018358,0.027573333136968296,3010869,0.0024811503473080396
335,38,55,18707,271603,8135115,0.06887626425334036,8116408,0.002299537253007487
336,38,60,28323,271603,17325563,0.10428088054992028,17297240,0.0016347520712602529
337,38,65,48078,271603,16829499,0.1770157177939861,16781421,0.0028567695330680965
338,38,70,31573,271603,12970494,0.11624687503451729,12938921,0.0024342172318186184
339,38,80,11154,271603,4308397,0.041067293071136914,4297243,0.0025888979126111175
340,39,10,24906,4560439,1776779,0.005461316333800321,1751873,0.014017500206834952
341,39,20,230174,4560439,7589577,0.05047189535919678,7359403,0.03032764540105463
342,39,30,795610,4560439,14108909,0.17445908168051366,13313299,0.05639061106709243
343,39,40,1037823,4560439,25978749,0.22757085447256284,24940926,0.03994892132796695
344,39,50,88633,4560439,3018358,0.01943519034022821,2929725,0.029364641304974428
345,39,55,298788,4560439,8135115,0.06551737672623184,7836327,0.03672818392856155
346,39,60,655844,4560439,17325563,0.14381159357684645,16669719,0.0378541234129015
347,39,65,764367,4560439,16829499,0.16760820613980365,16065132,0.045418286070191397
348,39,70,500612,4560439,12970494,0.10977276529737598,12469882,0.038596216921267607
349,39,80,163682,4560439,4308397,0.0358917200734403,4144715,0.0379913921581507
350,40,10,49326,1191596,1776779,0.04139490229910137,1727453,0.027761471741842965
351,40,20,70437,1191596,7589577,0.05911147737991736,7519140,0.00928075438196358
352,40,30,149313,1191596,14108909,0.12530505305489445,13959596,0.01058288773426776
353,40,40,282549,1191596,25978749,0.2371181172142236,25696200,0.01087615881734721
354,40,50,29884,1191596,3018358,0.025078969717924532,2988474,0.009900747359988443
